pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
258.581178,-114.477103,-90.0,top,,,TE_0-1734839-6_1x06-1MP_P0.5mm_Horizontal,,tht,True
258.581178,-114.477103,-90.0,top,,,TE_0-1734839-6_1x06-1MP_P0.5mm_Horizontal,,tht,True
249.981182,-114.4771,0.0,top,74HC595,,SOIC16,VAL**,smt,True
249.981182,-114.4771,0.0,bottom,74HC595,,SOIC16,VAL**,smt,True
162.325588,-143.396633,20.0,top,D1,,ComboDiode,,tht,True
211.581178,-116.108771,0.0,top,D10,,ComboDiode,,tht,True
210.366225,-99.164233,0.0,top,D11,,ComboDiode,,tht,True
211.581175,-82.108768,0.0,top,D12,,ComboDiode,,tht,True
229.581173,-118.942102,0.0,top,D13,,ComboDiode,,tht,True
229.581179,-101.942099,0.0,top,D14,,ComboDiode,,tht,True
229.581178,-84.942095,0.0,top,D15,,ComboDiode,,tht,True
227.154372,-143.222381,-15.0,top,D16,,ComboDiode,,tht,True
254.321397,-148.283611,-115.0,top,D17,,ComboDiode,,tht,True
217.335255,-130.3725,-90.0,top,D18,,ComboDiode,,tht,True
156.511243,-127.421853,20.0,top,D2,,ComboDiode,,tht,True
150.696899,-111.447088,20.0,top,D3,,ComboDiode,,tht,True
174.4244,-121.276341,10.0,top,D4,,ComboDiode,,tht,True
171.944421,-104.129684,10.0,top,D5,,ComboDiode,,tht,True
168.992402,-87.387951,10.0,top,D6,,ComboDiode,,tht,True
192.394483,-112.065707,5.0,top,D7,,ComboDiode,,tht,True
190.912836,-95.130397,5.0,top,D8,,ComboDiode,,tht,True
189.431191,-78.195087,5.0,top,D9,,ComboDiode,,tht,True
200.02,-127.37,-90.0,top,JST1,,JST_XH_S2B-XH-K_02x2.54mm_Angled,,tht,True
242.736228,-118.60423,180.0,top,JST1,,JST_XH_S2B-XH-K_02x2.54mm_Angled,,tht,True
250.656224,-122.510481,90.0,top,Nice!View1,,niceview_headers,,tht,True
208.516225,-131.809228,-90.0,top,ROT1,,rotary_encoder,,tht,True
159.498786,-135.630076,20.0,top,S1,,PG1350,,tht,True
211.581172,-107.843769,0.0,top,S10,,PG1350,,tht,True
211.581179,-90.84377,0.0,top,S11,,PG1350,,tht,True
211.581176,-73.84377,0.0,top,S12,,PG1350,,tht,True
229.581176,-110.677108,0.0,top,S13,,PG1350,,tht,True
229.581173,-93.6771,0.0,top,S14,,PG1350,,tht,True
229.581178,-76.677103,0.0,top,S15,,PG1350,,tht,True
229.581182,-134.677101,-15.0,top,S16,,PG1350,,tht,True
247.927758,-141.540207,-25.0,top,S17,,PG1350,,tht,True
153.684449,-119.655299,20.0,top,S2,,PG1350,,tht,True
147.870103,-103.680527,20.0,top,S3,,PG1350,,tht,True
173.461234,-112.731979,10.0,top,S4,,PG1350,,tht,True
170.509222,-95.990246,10.0,top,S5,,PG1350,,tht,True
167.557196,-79.248515,10.0,top,S6,,PG1350,,tht,True
191.674143,-103.83216,5.0,top,S7,,PG1350,,tht,True
190.192493,-86.896848,5.0,top,S8,,PG1350,,tht,True
188.710853,-69.961539,5.0,top,S9,,PG1350,,tht,True
249.625008,-94.779996,0.0,top,U?,,XiaoBle,Seeed Xiao,tht,True
251.324999,-93.509999,0.0,top,U?,,XiaoBle,Seeed Xiao,tht,True
199.07283,-96.609834,-5.0,top,_1,,Tenting Puck,Tenting Puck,tht,True
160.516223,-109.187403,20.0,top,_2,,MountingHole_2.2mm_M2_Pad_Via,,tht,True
165.646521,-123.282793,20.0,top,_3,,MountingHole_2.2mm_M2_Pad_Via,,tht,True
201.581178,-79.543761,0.0,top,_4,,MountingHole_2.2mm_M2_Pad_Via,,tht,True
239.240438,-137.265291,-15.0,top,_5,,MountingHole_2.2mm_M2_Pad_Via,,tht,True
250.446602,-84.843143,0.0,top,kibuzzard-66181547,,kibuzzard-66181547,G***,tht,False
250.642775,-120.705245,0.0,top,kibuzzard-66181572,,kibuzzard-66181572,G***,tht,False
242.736228,-116.154235,0.0,top,kibuzzard-6618164F,,kibuzzard-6618164F,G***,tht,False
